soil_moisture,soil_temperature,air_temperature,humidity,ph,nitrogen,phosphorus,potassium,crop
43.63,22.94,23.54,59.38,6.03,82.4,47.1,63.0,tomato
57.14,29.53,30.54,76.07,6.85,108.0,100.0,51.3,banana
35.41,25.17,26.18,61.82,6.16,65.2,58.3,87.2,tomato
37.48,25.38,27.06,60.08,5.64,25.8,41.0,30.7,peanut
90.15,30.27,31.3,82.51,6.08,57.8,37.6,82.0,abaca
38.02,22.68,24.14,62.39,6.45,81.5,40.5,79.0,tomato
30.64,26.45,27.2,64.66,6.55,72.7,37.8,51.5,onion
51.69,25.33,26.66,74.13,6.03,21.6,16.0,19.9,calamansi
93.59,27.82,29.17,86.85,5.82,75.1,23.2,86.7,abaca
72.33,24.25,25.18,84.57,6.95,76.6,48.4,52.1,cacao
44.74,27.43,28.07,60.67,5.63,40.7,31.9,82.3,sweet_potato
48.8,25.19,26.55,82.1,6.08,23.3,11.3,18.2,calamansi
57.51,26.88,29.04,83.44,6.91,107.9,86.6,49.7,banana
80.79,27.83,29.84,82.09,7.25,18.7,11.3,34.5,coconut
53.77,24.72,26.37,74.64,6.4,22.6,18.8,21.1,calamansi
41.45,30.36,32.09,62.08,6.44,99.7,50.2,21.3,corn
70.92,29.12,30.72,78.03,6.54,99.2,60.6,44.9,rice
47.76,25.48,26.95,64.39,6.37,41.3,27.4,86.9,sweet_potato
33.52,24.16,25.1,55.27,5.95,24.1,47.5,39.3,peanut
64.79,26.01,26.94,83.47,6.29,82.4,32.8,46.0,cacao
32.98,20.37,22.36,66.11,6.39,59.0,49.9,42.6,garlic
85.2,26.7,28.54,82.59,6.0,73.8,35.2,85.5,abaca
39.03,27.81,28.97,71.12,6.77,95.8,40.3,23.1,corn
52.03,24.44,26.29,82.16,7.65,16.9,10.0,28.2,coconut
80.41,19.07,21.52,63.92,5.77,106.9,22.8,26.7,coffee
35.43,26.21,26.71,68.8,6.09,85.5,49.4,45.0,eggplant
31.97,26.23,26.88,61.36,6.23,16.4,42.7,28.8,mungbean
43.24,29.53,31.68,73.85,6.22,49.3,40.6,41.0,ampalaya
42.23,28.44,29.91,61.17,6.49,59.7,25.5,63.4,cassava
69.65,17.49,19.75,77.92,5.57,101.4,26.2,31.1,coffee
78.18,27.67,29.34,81.05,5.84,71.6,33.4,43.8,cacao
33.82,21.95,24.16,74.88,7.49,99.6,58.5,24.3,corn
37.56,20.49,22.05,64.36,6.31,78.5,30.0,54.2,garlic
56.73,23.58,24.19,78.23,6.74,56.6,65.7,49.9,papaya
37.86,33.13,34.49,53.52,6.93,24.0,24.2,26.8,mango
45.38,22.8,23.41,69.51,5.74,82.1,52.9,54.7,eggplant
66.22,27.76,28.47,95.99,7.77,17.9,10.5,26.6,coconut
70.03,25.12,27.31,87.86,6.0,64.9,39.0,49.2,cacao
45.17,27.92,30.24,87.89,5.68,111.1,86.1,51.0,banana
49.8,22.78,24.48,78.09,4.66,52.5,26.0,68.2,pineapple
33.23,25.69,27.77,60.04,6.25,48.1,45.2,42.0,okra
60.06,27.85,29.52,86.96,6.09,106.1,78.2,48.3,banana
36.09,20.07,20.61,63.78,6.5,81.1,31.3,45.2,garlic
71.01,24.35,26.35,94.69,5.53,77.9,37.5,73.6,abaca
41.55,21.47,22.48,59.62,5.89,66.6,26.9,71.7,tobacco
43.44,23.6,25.99,75.32,5.63,51.5,25.2,75.9,pineapple
46.41,26.33,27.41,70.77,6.18,98.7,58.2,24.0,corn
61.16,29.42,30.12,66.89,6.34,121.4,52.6,41.2,sugarcane
34.26,21.1,23.03,67.53,5.77,77.7,44.7,84.8,tomato
36.24,33.16,33.98,57.52,6.51,24.4,19.3,33.1,mango
28.15,25.04,25.64,58.59,6.09,79.5,47.8,57.2,onion
36.04,23.69,24.24,65.8,5.82,93.4,61.4,20.5,corn
46.49,29.34,29.84,79.71,6.77,46.4,46.1,37.5,ampalaya
36.64,20.22,21.29,61.73,6.96,87.9,37.9,47.5,onion
63.47,25.44,27.37,72.33,6.06,20.3,19.1,22.7,calamansi
32.33,22.81,25.01,56.86,5.57,67.1,26.7,71.3,tobacco
78.04,25.77,27.15,87.18,5.35,19.9,11.3,30.6,coconut
40.14,29.08,30.76,59.84,5.19,42.9,33.5,69.3,cassava
48.34,27.47,29.2,61.27,6.34,43.6,31.9,65.9,cassava
43.59,30.49,31.82,65.3,5.83,22.6,16.3,29.6,mango
33.23,26.38,27.45,57.14,6.25,72.6,30.7,42.7,onion
65.0,26.33,28.81,79.35,5.41,24.6,26.8,33.5,rubber
47.72,23.34,25.32,66.54,4.55,49.3,28.2,83.6,pineapple
55.04,29.52,30.99,87.87,5.96,56.0,46.3,54.3,papaya
42.75,28.85,30.55,67.11,5.43,84.1,55.2,20.8,corn
32.07,18.29,20.66,65.42,6.34,61.5,49.2,54.8,onion
49.62,27.33,28.18,79.25,6.42,95.6,97.9,47.7,banana
48.8,25.32,26.39,74.81,4.68,46.8,16.5,70.7,pineapple
39.42,24.42,26.18,63.42,5.47,19.3,38.6,31.5,peanut
39.63,29.85,31.22,63.21,6.1,16.3,34.7,20.9,mungbean
50.37,28.05,28.9,79.6,4.54,58.8,25.6,78.0,pineapple
44.15,27.46,29.88,69.41,6.81,93.2,45.3,21.6,corn
50.63,24.71,26.57,71.03,5.46,118.5,47.2,58.1,sugarcane
40.83,22.84,25.07,68.36,6.44,30.6,46.4,50.4,peanut
72.98,28.91,30.86,80.88,7.45,20.4,13.5,32.2,coconut
49.94,29.09,30.15,70.52,6.22,75.3,41.2,56.3,eggplant
51.07,24.45,26.11,71.22,5.85,46.6,17.8,87.8,pineapple
36.81,29.71,31.28,65.73,6.14,59.9,43.7,33.3,okra
35.59,32.11,33.2,55.43,6.62,17.0,18.0,27.6,mango
65.4,26.31,27.24,78.62,5.67,75.8,34.9,42.1,cacao
35.98,27.0,28.99,61.8,6.99,20.1,48.5,25.7,mungbean
30.82,21.38,23.16,55.06,6.26,77.9,30.7,54.8,garlic
59.04,30.79,31.68,73.91,6.44,15.4,16.2,24.7,calamansi
37.25,24.67,27.07,67.51,6.6,78.8,38.8,40.4,eggplant
72.78,23.8,24.85,85.64,5.02,86.6,33.2,74.7,abaca
41.92,26.89,29.26,63.78,6.71,20.4,19.7,33.6,mango
45.25,29.69,31.67,76.66,6.64,49.3,40.5,45.5,ampalaya
48.46,23.68,25.82,89.76,6.44,98.1,90.3,55.4,banana
38.44,23.45,24.39,63.99,5.9,17.7,44.5,46.3,peanut
38.34,23.29,25.4,68.04,5.71,54.0,20.6,76.8,tobacco
75.15,28.24,30.02,90.11,6.1,95.3,56.6,40.6,rice
74.44,25.45,27.07,69.11,5.54,94.6,16.3,32.6,coffee
38.82,22.76,24.63,58.39,6.18,47.0,23.8,74.9,tobacco
59.55,24.76,26.02,76.26,6.03,17.2,18.4,21.1,calamansi
78.35,26.51,28.4,81.13,5.69,20.7,13.5,32.9,coconut
39.21,28.99,29.63,74.12,6.73,96.6,59.1,22.3,corn
50.23,25.08,26.73,63.91,6.84,134.2,55.8,57.3,sugarcane
79.69,25.11,26.8,86.26,5.71,92.1,44.0,40.6,cacao
41.0,29.21,31.06,63.47,5.69,81.5,48.6,22.8,corn
71.16,26.73,27.36,82.55,5.98,21.1,10.9,33.2,coconut
47.36,24.18,24.87,70.69,6.2,45.4,43.6,44.7,ampalaya
65.99,26.48,27.25,86.76,6.86,57.2,59.7,53.8,papaya
39.86,28.07,29.52,65.79,5.38,15.9,20.7,30.6,mango
47.18,22.26,24.51,68.1,5.92,31.3,21.2,67.8,sweet_potato
46.2,23.08,24.26,71.75,6.26,65.8,54.2,51.8,eggplant
37.99,29.25,29.79,73.61,6.02,79.5,58.5,55.1,eggplant
64.39,23.87,25.68,77.31,5.86,55.4,49.5,49.2,papaya
53.69,24.88,26.51,76.39,4.87,49.1,24.7,69.2,pineapple
55.29,28.09,30.07,89.2,7.87,22.6,11.5,31.4,coconut
56.72,27.63,29.77,74.04,6.07,46.7,48.4,45.5,papaya
36.08,24.94,26.63,60.38,6.4,45.6,23.0,83.1,cassava
49.14,27.91,29.19,90.24,6.52,93.4,94.2,49.2,banana
37.17,21.87,24.26,60.13,6.7,53.6,30.1,45.1,okra
34.72,18.14,20.58,61.99,6.44,85.8,36.4,60.0,garlic
38.24,24.87,25.51,62.71,5.41,49.5,25.2,64.6,sweet_potato
30.29,20.06,21.9,64.06,6.94,79.7,51.0,47.4,onion
47.61,30.99,32.78,74.21,6.85,125.5,53.0,47.4,sugarcane
46.87,27.14,28.55,82.75,6.35,45.6,50.3,48.1,papaya
58.85,23.06,23.81,71.3,5.84,93.3,22.5,28.1,coffee
36.25,21.97,22.49,76.9,6.79,65.1,46.9,48.0,eggplant
61.44,30.75,31.45,76.97,5.87,22.4,14.5,24.3,calamansi
35.66,20.79,21.61,64.61,6.59,68.4,59.6,77.4,tomato
62.76,28.63,29.46,78.31,6.21,42.3,46.3,53.3,papaya
58.84,24.69,25.38,81.14,6.96,24.6,13.9,33.0,coconut
37.97,21.26,23.17,56.42,6.41,75.5,42.1,50.7,onion
69.6,29.69,31.32,68.58,6.44,122.5,51.3,47.9,sugarcane
43.68,27.0,28.01,74.1,6.57,54.3,29.9,29.1,okra
41.52,25.06,26.3,65.57,7.01,86.0,58.9,20.8,corn
37.12,28.71,30.06,66.59,6.72,22.4,19.5,32.6,mango
38.92,26.16,27.55,59.86,5.89,26.0,34.1,44.5,peanut
67.01,24.02,26.36,71.86,6.59,105.4,49.3,48.6,sugarcane
35.7,23.16,25.64,60.65,6.17,44.9,29.5,39.5,okra
37.77,23.93,25.36,69.57,6.5,76.3,51.9,48.1,eggplant
45.85,23.64,25.87,74.43,6.4,82.7,40.5,53.5,eggplant
45.69,29.48,30.16,56.91,6.32,18.1,45.6,46.6,peanut
72.76,25.13,25.95,81.9,5.72,88.7,48.7,39.7,rice
30.99,26.13,27.22,56.61,6.47,51.7,34.7,79.0,tobacco
38.31,24.22,25.35,78.97,6.61,57.8,29.8,29.3,ampalaya
70.47,25.22,26.98,85.92,5.63,38.5,26.8,26.9,rubber
30.53,22.32,23.25,72.68,5.74,73.2,48.3,65.6,tomato
67.39,26.81,28.33,79.92,7.01,16.1,12.2,29.4,coconut
45.91,27.56,29.67,76.46,6.26,55.0,31.0,35.0,ampalaya
57.08,26.38,27.67,74.61,5.34,53.9,24.9,64.4,pineapple
50.14,29.43,30.11,67.82,6.45,66.3,49.4,56.2,eggplant
46.83,22.14,23.77,66.07,6.5,69.1,40.1,45.5,eggplant
47.57,24.76,27.09,66.6,5.82,40.7,29.4,86.7,pineapple
87.39,28.03,29.9,94.22,6.53,83.8,28.0,62.0,abaca
55.97,25.86,27.89,75.57,6.67,115.1,97.5,46.2,banana
35.86,26.05,27.37,62.52,6.66,16.9,18.5,31.2,mango
38.62,27.96,30.0,72.87,6.25,22.0,46.0,21.6,mungbean
36.64,25.59,27.59,62.4,6.33,62.8,34.5,70.3,tobacco
77.05,25.54,27.76,90.8,5.3,21.0,12.9,26.1,coconut
38.49,26.69,28.8,73.25,6.1,24.8,33.3,21.2,mungbean
65.94,26.31,28.11,88.3,5.56,106.7,42.5,40.9,rice
38.08,26.54,28.71,51.94,6.76,15.4,17.6,33.5,mango
41.51,32.74,33.48,56.5,5.9,23.5,24.4,26.2,mango
45.21,28.1,29.2,70.04,5.23,46.4,27.8,76.1,pineapple
27.57,19.33,21.22,61.08,6.08,83.4,41.1,45.7,garlic
33.16,24.67,26.42,60.02,6.1,44.6,21.0,65.8,tobacco
33.76,20.64,22.44,57.98,6.3,81.3,33.4,60.1,onion
41.32,24.65,26.6,60.29,7.41,78.9,46.7,22.3,corn
68.87,27.79,29.25,88.22,5.34,23.5,17.6,28.3,rubber
69.41,25.86,27.02,82.9,6.84,76.1,47.4,49.6,cacao
34.01,27.05,29.19,56.72,6.45,28.1,48.1,33.7,peanut
48.3,24.43,26.41,67.29,6.57,70.7,49.8,54.7,eggplant
56.85,25.11,26.59,75.87,4.72,58.8,19.1,62.1,pineapple
44.91,23.62,24.15,75.77,6.05,43.0,31.0,45.0,ampalaya
52.53,27.74,28.65,66.67,6.23,40.2,26.9,85.2,cassava
39.42,26.18,26.89,62.82,6.13,22.9,40.7,47.5,peanut
48.52,22.84,24.82,61.39,5.02,49.9,23.2,73.1,cassava
38.68,27.12,27.86,65.28,6.55,79.8,56.7,50.4,eggplant
90.86,25.45,27.84,80.27,6.14,70.3,23.3,71.1,abaca
36.64,25.11,26.81,59.7,6.92,82.3,33.8,48.9,garlic
94.47,24.43,26.65,92.55,5.88,71.9,28.3,75.7,abaca
28.23,24.5,25.74,68.93,6.49,65.2,40.0,48.7,onion
71.51,26.27,28.56,75.61,5.66,98.3,50.5,44.4,rice
42.37,30.45,31.04,58.64,5.27,57.6,38.8,64.0,cassava
44.5,28.41,30.07,79.38,6.21,60.7,32.9,40.7,ampalaya
69.09,25.98,26.63,82.57,6.49,62.2,44.1,46.1,cacao
39.14,27.11,28.08,65.82,5.89,61.2,30.6,76.4,tobacco
35.54,22.28,24.0,62.9,5.99,75.6,49.3,80.3,tomato
40.81,28.16,29.57,67.96,5.79,65.1,30.4,76.2,tobacco
50.07,27.04,28.03,83.18,5.66,55.3,51.0,50.7,papaya
29.13,21.88,22.46,59.98,6.45,61.3,41.5,60.0,garlic
45.64,30.4,31.99,77.8,6.66,99.5,80.8,48.8,banana
46.72,28.42,30.69,84.66,5.86,100.0,90.8,45.9,banana
50.7,25.37,26.61,73.63,5.43,60.1,19.2,78.3,pineapple
47.81,28.66,30.63,76.64,6.82,120.9,76.9,49.2,banana
65.41,27.05,28.09,81.6,6.03,17.2,12.2,32.0,coconut
40.41,26.75,27.93,77.68,6.72,61.5,39.7,32.7,ampalaya
42.86,27.36,29.59,61.18,6.98,58.8,27.3,80.9,cassava
34.2,23.87,26.14,69.56,5.59,15.8,43.2,42.6,peanut
80.69,24.75,26.19,84.56,4.66,31.4,28.3,18.6,rubber
47.89,26.27,26.88,80.55,6.65,62.6,43.2,45.0,eggplant
32.43,22.37,23.07,65.65,6.65,65.4,36.6,48.3,garlic
43.93,32.97,34.25,70.16,7.19,19.5,22.5,32.8,mango
38.6,27.03,29.32,64.32,6.71,16.7,40.6,26.6,mungbean
33.04,22.39,22.98,62.22,5.98,80.4,41.5,65.7,tomato
31.82,26.79,28.55,75.02,6.38,17.7,44.5,22.3,mungbean
39.14,29.79,31.32,73.02,6.96,50.2,38.2,60.2,cassava
74.25,24.01,25.29,78.51,6.36,117.8,46.8,44.9,rice
43.06,25.77,27.61,60.61,5.72,15.5,28.8,51.3,peanut
54.99,27.15,28.21,72.05,5.31,57.0,29.0,64.5,pineapple
59.02,29.42,30.69,62.95,6.26,99.5,41.1,45.3,sugarcane
47.94,23.39,25.02,75.29,5.69,72.1,54.4,43.7,eggplant
56.94,27.19,28.23,82.04,5.89,105.4,98.8,54.3,banana
36.06,29.43,31.75,74.86,6.02,43.6,39.2,45.7,okra
41.84,30.31,32.81,66.39,6.75,22.7,19.7,26.8,mango
30.77,29.7,31.97,75.42,6.05,21.1,32.9,20.2,mungbean
44.38,20.96,22.07,70.9,6.32,91.2,54.0,41.8,eggplant
36.25,27.13,28.56,60.99,6.13,22.6,29.9,36.5,peanut
45.68,28.2,30.27,87.74,6.61,102.3,88.0,50.6,banana
75.39,26.59,28.25,85.26,6.5,88.9,40.2,55.2,cacao
49.22,22.2,23.21,79.76,6.55,85.3,45.8,44.8,eggplant
44.97,24.65,25.19,72.3,5.49,50.8,17.2,59.2,pineapple
34.36,19.01,21.25,68.58,6.99,69.6,41.5,48.1,garlic
37.53,27.7,30.14,63.14,6.62,51.4,37.3,37.8,okra
66.43,28.24,29.49,94.59,6.42,17.3,7.2,27.9,coconut
34.54,23.26,24.8,57.06,6.12,75.6,35.9,55.7,garlic
35.97,26.6,27.89,57.11,5.55,21.2,17.7,25.8,mango
91.86,28.48,29.7,81.58,5.3,81.8,26.3,77.4,abaca
35.56,27.07,27.6,61.75,6.39,54.9,37.3,31.6,okra
31.01,22.2,23.44,57.41,6.39,80.8,45.7,44.6,onion
39.7,28.91,30.26,67.92,6.74,15.9,38.5,22.9,mungbean
71.08,24.54,25.74,83.33,6.86,103.9,48.5,42.7,rice
55.09,26.37,27.65,81.76,6.22,102.2,70.3,52.4,banana
51.56,29.17,31.51,87.19,6.49,98.3,85.4,50.6,banana
51.68,32.66,33.61,77.12,6.21,109.2,43.0,44.8,sugarcane
40.02,26.99,28.96,63.05,7.45,84.6,56.1,24.6,corn
57.1,25.86,27.2,82.95,5.98,20.2,11.5,22.1,calamansi
42.26,24.2,26.49,66.25,6.01,80.3,42.5,20.8,corn
44.41,24.62,27.1,74.75,5.53,74.1,59.3,46.1,eggplant
44.03,21.19,23.0,71.5,5.5,88.0,56.5,70.0,tomato
43.08,22.65,25.05,64.43,6.8,36.0,32.0,78.7,sweet_potato
34.0,30.47,31.38,66.96,6.22,55.7,48.6,41.4,okra
40.19,24.75,27.05,61.36,7.25,89.1,53.8,24.3,corn
44.13,23.27,23.77,73.37,6.3,31.6,24.4,86.3,sweet_potato
46.54,20.58,22.07,77.62,5.62,74.7,43.3,40.7,eggplant
38.93,22.05,22.68,66.84,6.18,66.8,34.0,83.5,tobacco
37.84,24.67,26.79,70.98,6.22,43.3,22.9,87.8,sweet_potato
78.81,26.25,27.4,85.18,6.55,62.4,33.2,41.6,cacao
45.13,21.69,23.17,75.77,6.4,86.9,52.5,53.3,eggplant
37.59,27.44,28.88,79.49,6.54,86.3,58.0,39.7,eggplant
56.91,25.33,27.36,76.14,5.67,42.0,28.4,78.1,pineapple
66.2,24.32,25.19,79.31,7.12,65.7,39.8,43.6,cacao
75.33,24.3,26.34,77.25,4.86,37.0,27.5,20.1,rubber
47.6,23.38,25.85,67.52,6.21,49.2,30.0,77.1,sweet_potato
29.74,25.96,27.42,65.34,6.14,43.9,33.9,75.4,tobacco
49.37,26.7,28.19,72.14,4.67,43.3,30.9,73.9,pineapple
79.17,26.75,28.08,88.3,6.7,119.2,51.5,40.7,rice
30.78,19.32,20.13,62.3,6.47,88.4,32.5,47.7,onion
66.8,28.71,30.97,77.23,5.08,34.7,22.2,35.2,rubber
42.35,23.26,25.48,61.65,6.73,45.6,40.3,44.0,okra
37.59,24.18,25.77,63.31,5.64,43.3,38.8,65.6,tobacco
48.35,27.64,30.01,87.78,6.56,50.2,61.3,49.2,papaya
34.12,22.81,23.88,63.72,6.62,62.2,31.9,59.0,garlic
52.2,23.93,26.4,76.91,5.64,59.9,18.0,72.6,pineapple
30.43,19.01,21.24,72.86,5.89,62.4,60.2,86.8,tomato
29.74,25.24,26.07,57.27,6.5,63.0,37.7,59.1,onion
63.75,29.24,30.23,75.11,6.77,127.2,57.8,53.1,sugarcane
31.72,25.48,27.44,67.67,6.19,42.0,29.4,64.0,tobacco
61.84,28.66,30.43,80.46,4.54,28.5,16.9,33.3,rubber
46.52,23.28,25.56,67.29,6.58,83.8,49.7,59.4,eggplant
81.77,26.75,27.31,83.62,5.74,64.5,30.5,65.7,abaca
89.39,28.14,29.32,79.2,6.22,109.4,57.7,42.7,rice
81.81,24.55,25.63,76.1,6.94,85.9,51.3,41.0,rice
57.97,25.24,27.32,80.19,6.19,77.9,40.9,53.4,cacao
37.76,29.5,31.04,66.11,6.67,45.5,29.7,35.4,okra
64.72,28.87,30.64,82.59,5.96,24.9,12.5,15.1,calamansi
37.48,23.51,24.21,69.15,6.47,20.1,32.0,33.2,peanut
42.54,23.19,25.02,72.54,6.7,41.7,34.7,41.3,ampalaya
41.36,28.03,29.84,73.39,5.99,58.6,25.2,75.4,pineapple
40.33,25.43,26.16,74.69,6.25,62.7,48.0,40.4,eggplant
36.98,26.15,27.19,64.05,6.56,20.7,47.5,29.2,mungbean
57.71,27.58,28.36,82.77,5.75,20.8,15.4,24.4,calamansi
77.85,20.58,23.03,62.61,5.08,95.4,19.5,32.7,coffee
64.06,24.51,26.01,88.07,6.9,17.5,6.9,29.0,coconut
70.3,24.85,27.29,83.8,5.38,87.4,32.8,64.4,abaca
31.07,22.13,24.24,65.68,6.37,49.1,27.7,69.2,tobacco
54.2,25.83,27.06,72.74,4.95,50.3,25.0,85.7,pineapple
57.44,24.57,26.86,85.43,5.86,114.1,90.9,54.3,banana
47.66,25.59,26.48,78.99,5.73,43.4,21.0,82.6,pineapple
68.54,24.56,25.25,77.79,4.78,32.4,20.0,22.2,rubber
63.71,23.54,24.5,89.59,5.84,75.7,30.9,41.6,cacao
43.67,24.52,25.03,63.27,6.77,98.0,54.4,23.8,corn
43.91,28.0,29.21,75.83,5.48,39.7,20.9,72.2,pineapple
48.13,21.65,23.09,65.84,5.75,35.5,28.7,79.9,sweet_potato
53.48,25.71,27.4,78.18,5.8,44.9,25.1,70.3,pineapple
42.43,22.78,25.17,74.5,5.68,39.4,26.2,69.9,pineapple
58.21,24.75,25.29,86.29,6.26,89.7,74.9,53.3,banana
52.15,27.96,29.83,79.06,6.19,49.8,55.0,53.4,papaya
31.23,20.02,20.93,66.9,6.34,79.0,34.3,41.8,garlic
39.26,26.8,27.6,64.73,6.94,57.2,27.1,60.0,cassava
90.34,23.93,26.32,88.32,6.89,100.7,51.2,40.6,rice
71.89,25.5,27.29,82.03,5.3,74.8,24.7,76.8,abaca
53.03,24.6,26.01,58.57,5.91,53.7,33.6,60.4,cassava
79.89,25.37,25.91,80.66,7.86,23.2,4.1,29.1,coconut
62.28,30.95,31.57,80.72,6.31,16.0,18.3,24.9,calamansi
58.13,22.43,24.1,72.58,5.74,110.9,24.3,33.5,coffee
38.62,27.15,29.47,63.54,6.87,20.4,48.6,29.9,mungbean
39.96,27.76,28.48,64.95,6.92,83.4,43.0,24.5,corn
40.3,24.51,25.71,72.92,6.19,49.3,22.5,91.5,sweet_potato
47.33,27.45,29.73,67.78,6.47,50.8,46.9,33.2,ampalaya
64.53,31.88,32.65,75.28,4.89,23.0,24.5,33.0,rubber
75.35,28.32,29.05,85.93,5.62,17.4,11.5,30.7,coconut
40.64,24.91,26.23,68.11,4.92,54.9,23.5,71.0,pineapple
40.36,29.54,31.04,76.49,6.75,50.6,38.3,45.7,ampalaya
31.65,24.41,26.23,65.77,6.21,71.9,48.3,46.1,garlic
58.29,25.9,26.73,78.84,5.21,37.4,22.3,26.4,rubber
81.27,25.26,27.36,66.72,6.28,94.3,24.6,26.2,coffee
38.8,21.35,22.97,66.29,5.7,66.5,50.9,75.0,tomato
93.29,24.9,27.29,79.87,6.5,106.2,41.0,42.5,rice
39.81,27.93,28.75,59.24,5.69,23.2,44.4,36.6,peanut
72.44,27.33,29.49,92.0,6.5,62.1,27.3,75.7,abaca
55.34,28.55,30.55,75.52,6.66,94.9,97.0,53.5,banana
44.11,22.56,24.52,73.74,5.32,43.9,29.0,78.5,pineapple
41.36,29.7,31.73,61.22,6.76,57.2,31.7,31.4,okra
46.0,22.58,25.02,68.1,5.65,42.7,27.6,86.8,sweet_potato
63.25,24.83,27.18,83.79,6.03,111.1,58.4,41.9,rice
27.87,23.55,25.46,68.96,6.7,72.9,45.3,52.3,onion
34.94,24.01,24.96,64.78,5.03,48.3,34.2,66.7,cassava
38.92,24.12,25.78,72.31,6.65,59.6,38.2,41.4,ampalaya
31.77,26.37,27.24,67.88,6.97,76.3,41.3,41.6,onion
76.17,23.6,25.91,91.05,6.78,23.9,11.2,28.2,coconut
30.45,21.62,23.03,58.11,6.31,87.0,50.7,55.6,onion
31.56,23.97,24.86,61.31,6.19,53.5,26.5,82.5,tobacco
44.55,25.11,26.6,64.96,5.98,75.5,52.4,86.5,tomato
30.39,23.33,25.82,59.16,6.81,86.2,34.2,49.3,onion
80.17,24.41,25.68,90.83,5.51,83.0,31.2,87.8,abaca
64.54,25.01,26.47,67.26,5.38,105.3,18.0,28.8,coffee
46.34,22.61,25.02,68.7,5.56,128.1,44.0,60.1,sugarcane
30.78,30.23,31.84,73.64,6.45,21.4,37.3,22.7,mungbean
30.52,18.84,20.33,70.56,6.19,72.8,41.4,42.4,onion
32.85,25.19,25.95,67.45,6.48,74.0,46.6,44.4,onion
59.03,25.86,27.13,68.28,6.64,118.4,49.2,56.7,sugarcane
91.09,23.16,25.62,78.21,6.29,98.2,59.0,44.0,rice
28.66,20.5,21.35,65.07,6.76,79.4,47.5,57.1,garlic
91.07,25.43,27.45,80.58,6.61,107.5,53.7,44.2,rice
40.77,27.45,28.14,64.38,6.98,52.8,33.3,67.0,cassava
59.97,21.92,22.91,70.55,6.07,97.1,17.9,32.8,coffee
35.79,19.02,19.58,57.02,6.77,65.9,33.6,53.9,onion
62.39,23.34,25.47,81.84,5.76,113.8,92.8,50.8,banana
72.43,24.55,26.52,79.65,7.59,15.5,8.4,23.9,coconut
39.35,19.85,20.63,64.31,6.5,72.5,45.8,70.5,tomato
68.64,21.8,24.24,61.34,5.97,104.9,20.8,27.1,coffee
35.62,21.67,22.21,59.24,6.03,85.5,35.9,50.3,garlic
34.86,31.74,32.7,51.74,6.23,14.9,16.0,29.2,mango
30.54,21.98,22.5,62.4,6.57,72.3,43.1,58.5,garlic
53.9,26.69,28.14,77.0,6.22,49.3,52.9,51.4,papaya
53.16,25.73,27.7,78.98,5.8,99.7,79.4,51.1,banana
57.67,25.07,25.83,91.49,5.54,15.1,14.4,29.5,coconut
77.29,25.47,27.23,77.2,6.46,83.1,40.3,44.0,cacao
31.61,24.55,25.66,68.3,6.34,45.7,22.7,76.8,tobacco
62.88,25.6,27.14,84.63,5.15,31.8,21.4,23.6,rubber
41.88,29.56,30.24,69.62,6.1,42.8,47.2,49.3,ampalaya
42.07,26.2,27.05,62.53,6.13,45.4,32.8,83.8,sweet_potato
33.16,21.51,23.93,62.11,6.46,72.1,31.2,51.3,onion
65.61,22.37,24.23,75.93,5.17,96.5,20.7,33.4,coffee
49.98,26.01,27.52,73.8,5.68,50.9,51.1,53.9,papaya
46.28,24.78,26.43,73.66,6.68,53.8,59.8,47.9,papaya
44.13,25.18,25.74,69.75,5.68,30.7,26.3,91.4,sweet_potato
67.47,26.28,27.03,74.36,5.74,29.0,15.6,34.5,rubber
56.27,32.83,33.81,65.72,5.68,126.7,58.2,49.7,sugarcane
37.0,23.11,25.4,63.25,6.07,19.4,39.8,21.8,mungbean
73.32,29.08,29.68,87.47,6.59,22.5,7.2,29.8,coconut
42.52,25.58,27.94,61.98,6.14,37.6,27.5,64.1,sweet_potato
54.11,25.75,26.95,89.92,6.41,22.3,9.0,31.5,coconut
39.25,29.84,32.1,59.41,6.84,42.6,30.5,78.3,cassava
44.04,28.07,29.11,65.81,5.82,58.5,17.3,82.6,pineapple
57.46,31.64,33.95,72.28,7.1,123.0,40.2,44.4,sugarcane
47.32,22.11,22.87,64.65,6.15,47.6,28.5,70.9,sweet_potato
66.98,24.49,26.31,75.73,5.02,23.0,31.2,31.6,rubber
43.57,28.2,29.12,77.99,4.99,37.6,14.7,83.5,pineapple
54.36,24.51,26.69,84.36,5.54,16.7,13.8,16.7,calamansi
49.08,28.29,28.88,77.06,5.76,49.6,51.3,54.3,papaya
60.84,23.67,25.09,84.3,5.72,34.9,15.6,32.3,rubber
46.94,24.57,25.36,73.01,6.38,64.5,53.7,58.2,eggplant
35.56,26.72,28.41,57.04,5.58,23.7,18.5,28.0,mango
54.6,23.45,24.19,70.29,5.67,43.7,55.3,45.0,papaya
56.98,31.15,32.46,71.45,6.27,119.8,53.6,53.1,sugarcane
40.99,24.55,25.14,71.35,7.11,58.0,26.8,86.5,cassava
31.28,22.7,24.23,59.19,6.17,61.5,46.3,58.4,onion
38.99,21.41,22.77,62.08,5.98,63.9,44.9,59.6,tomato
27.72,25.47,27.73,58.66,6.68,84.2,49.9,45.3,onion
45.89,22.45,23.41,70.22,6.59,63.9,55.5,56.5,eggplant
