N,P,K,temperature,humidity,ph,label,fertilizer
28.8,27.5,22.2,26.74,80.04,5.48,rubber,Ammonium Sulfate (21-0-0)
93.3,48.7,44.2,26.51,82.9,6.22,rice,Complete (14-14-14)
21.7,15.5,21.8,26.23,70.8,6.13,calamansi,Ammonium Sulfate (21-0-0)
21.0,10.3,18.2,31.38,79.2,6.03,calamansi,Ammonium Sulfate (21-0-0)
44.7,46.4,48.9,25.08,82.28,6.04,papaya,Complete (14-14-14)
82.7,47.2,20.8,30.73,74.61,7.36,corn,Urea (46-0-0)
80.8,39.5,51.6,26.87,85.63,6.09,cacao,Complete (14-14-14)
96.4,15.1,30.9,26.88,77.69,5.74,coffee,Complete (14-14-14)
20.7,8.8,27.7,24.53,82.29,7.38,coconut,Muriate of Potash (0-0-60)
69.5,39.8,54.0,20.92,65.84,6.71,garlic,Complete (14-14-14)
26.5,32.2,29.9,27.55,59.9,5.9,peanut,Ammonium Phosphate (16-20-0)
42.8,57.3,54.5,31.38,79.2,5.57,papaya,Complete (14-14-14)
74.7,50.4,55.7,28.98,83.94,5.88,cacao,Complete (14-14-14)
108.6,48.3,47.9,30.08,63.44,5.73,sugarcane,Urea (46-0-0)
44.9,22.0,80.3,26.64,71.99,6.69,sweet_potato,Muriate of Potash (0-0-60)
19.5,12.5,22.3,30.69,83.5,5.46,calamansi,Ammonium Sulfate (21-0-0)
23.2,15.5,33.1,29.41,81.11,5.82,rubber,Ammonium Sulfate (21-0-0)
15.9,25.0,34.5,27.4,53.11,6.58,mango,Complete (14-14-14)
16.5,12.0,31.2,29.01,86.68,5.49,coconut,Muriate of Potash (0-0-60)
106.3,24.6,35.0,26.89,71.4,6.33,coffee,Complete (14-14-14)
22.6,25.2,34.3,30.45,77.31,5.08,rubber,Ammonium Sulfate (21-0-0)
21.0,19.1,33.9,30.91,52.7,6.26,mango,Complete (14-14-14)
104.2,16.2,27.6,27.12,66.83,5.19,coffee,Complete (14-14-14)
38.1,24.3,28.9,30.61,75.69,4.57,rubber,Ammonium Sulfate (21-0-0)
50.7,30.9,84.0,25.39,60.76,6.23,cassava,Muriate of Potash (0-0-60)
18.3,18.5,20.3,27.77,77.21,5.89,calamansi,Ammonium Sulfate (21-0-0)
61.0,48.9,34.7,28.73,62.86,6.03,okra,Complete (14-14-14)
92.8,56.8,40.2,26.62,80.67,6.08,rice,Complete (14-14-14)
102.2,27.7,35.0,20.54,62.15,5.39,coffee,Complete (14-14-14)
17.0,47.7,25.6,28.18,69.67,6.96,mungbean,Ammonium Phosphate (16-20-0)
68.6,47.0,52.8,21.0,63.05,6.77,garlic,Complete (14-14-14)
73.1,35.1,67.5,26.38,84.14,6.03,abaca,Complete (14-14-14)
103.2,18.0,28.7,21.4,66.9,5.18,coffee,Complete (14-14-14)
23.4,11.5,20.1,32.22,79.49,5.53,calamansi,Ammonium Sulfate (21-0-0)
80.9,56.4,40.2,30.48,88.32,6.19,rice,Complete (14-14-14)
108.1,51.8,58.4,34.08,66.14,5.9,sugarcane,Urea (46-0-0)
23.1,49.0,28.6,31.63,68.72,6.55,mungbean,Ammonium Phosphate (16-20-0)
80.7,41.4,61.3,27.54,68.82,6.52,garlic,Complete (14-14-14)
79.4,58.2,47.3,28.55,73.79,6.47,eggplant,Complete (14-14-14)
83.9,39.5,45.6,28.33,80.4,6.77,cacao,Complete (14-14-14)
86.9,40.7,22.4,29.31,71.47,6.68,corn,Urea (46-0-0)
45.8,61.5,50.7,29.83,81.88,6.12,papaya,Complete (14-14-14)
21.1,20.6,28.2,28.36,53.29,5.93,mango,Complete (14-14-14)
24.0,47.0,46.1,27.45,59.73,5.75,peanut,Ammonium Phosphate (16-20-0)
79.8,34.1,45.9,26.59,63.53,6.39,garlic,Complete (14-14-14)
17.7,7.9,28.2,27.34,92.43,6.8,coconut,Muriate of Potash (0-0-60)
23.6,22.0,30.6,32.35,68.98,6.22,mango,Complete (14-14-14)
19.1,33.5,27.2,28.81,63.36,6.19,mungbean,Ammonium Phosphate (16-20-0)
82.4,47.1,63.0,23.54,59.38,6.03,tomato,Complete (14-14-14)
108.0,100.0,51.3,30.54,76.07,6.85,banana,Muriate of Potash (0-0-60)
65.2,58.3,87.2,26.18,61.82,6.16,tomato,Complete (14-14-14)
25.8,41.0,30.7,27.06,60.08,5.64,peanut,Ammonium Phosphate (16-20-0)
57.8,37.6,82.0,31.3,82.51,6.08,abaca,Complete (14-14-14)
81.5,40.5,79.0,24.14,62.39,6.45,tomato,Complete (14-14-14)
72.7,37.8,51.5,27.2,64.66,6.55,onion,Complete (14-14-14)
21.6,16.0,19.9,26.66,74.13,6.03,calamansi,Ammonium Sulfate (21-0-0)
75.1,23.2,86.7,29.17,86.85,5.82,abaca,Complete (14-14-14)
76.6,48.4,52.1,25.18,84.57,6.95,cacao,Complete (14-14-14)
40.7,31.9,82.3,28.07,60.67,5.63,sweet_potato,Muriate of Potash (0-0-60)
23.3,11.3,18.2,26.55,82.1,6.08,calamansi,Ammonium Sulfate (21-0-0)
107.9,86.6,49.7,29.04,83.44,6.91,banana,Muriate of Potash (0-0-60)
18.7,11.3,34.5,29.84,82.09,7.25,coconut,Muriate of Potash (0-0-60)
22.6,18.8,21.1,26.37,74.64,6.4,calamansi,Ammonium Sulfate (21-0-0)
99.7,50.2,21.3,32.09,62.08,6.44,corn,Urea (46-0-0)
99.2,60.6,44.9,30.72,78.03,6.54,rice,Complete (14-14-14)
41.3,27.4,86.9,26.95,64.39,6.37,sweet_potato,Muriate of Potash (0-0-60)
24.1,47.5,39.3,25.1,55.27,5.95,peanut,Ammonium Phosphate (16-20-0)
82.4,32.8,46.0,26.94,83.47,6.29,cacao,Complete (14-14-14)
59.0,49.9,42.6,22.36,66.11,6.39,garlic,Complete (14-14-14)
73.8,35.2,85.5,28.54,82.59,6.0,abaca,Complete (14-14-14)
95.8,40.3,23.1,28.97,71.12,6.77,corn,Urea (46-0-0)
16.9,10.0,28.2,26.29,82.16,7.65,coconut,Muriate of Potash (0-0-60)
106.9,22.8,26.7,21.52,63.92,5.77,coffee,Complete (14-14-14)
85.5,49.4,45.0,26.71,68.8,6.09,eggplant,Complete (14-14-14)
16.4,42.7,28.8,26.88,61.36,6.23,mungbean,Ammonium Phosphate (16-20-0)
49.3,40.6,41.0,31.68,73.85,6.22,ampalaya,Complete (14-14-14)
59.7,25.5,63.4,29.91,61.17,6.49,cassava,Muriate of Potash (0-0-60)
101.4,26.2,31.1,19.75,77.92,5.57,coffee,Complete (14-14-14)
71.6,33.4,43.8,29.34,81.05,5.84,cacao,Complete (14-14-14)
99.6,58.5,24.3,24.16,74.88,7.49,corn,Urea (46-0-0)
78.5,30.0,54.2,22.05,64.36,6.31,garlic,Complete (14-14-14)
56.6,65.7,49.9,24.19,78.23,6.74,papaya,Complete (14-14-14)
24.0,24.2,26.8,34.49,53.52,6.93,mango,Complete (14-14-14)
82.1,52.9,54.7,23.41,69.51,5.74,eggplant,Complete (14-14-14)
17.9,10.5,26.6,28.47,95.99,7.77,coconut,Muriate of Potash (0-0-60)
64.9,39.0,49.2,27.31,87.86,6.0,cacao,Complete (14-14-14)
111.1,86.1,51.0,30.24,87.89,5.68,banana,Muriate of Potash (0-0-60)
52.5,26.0,68.2,24.48,78.09,4.66,pineapple,Muriate of Potash (0-0-60)
48.1,45.2,42.0,27.77,60.04,6.25,okra,Complete (14-14-14)
106.1,78.2,48.3,29.52,86.96,6.09,banana,Muriate of Potash (0-0-60)
81.1,31.3,45.2,20.61,63.78,6.5,garlic,Complete (14-14-14)
77.9,37.5,73.6,26.35,94.69,5.53,abaca,Complete (14-14-14)
66.6,26.9,71.7,22.48,59.62,5.89,tobacco,Ammonium Sulfate (21-0-0)
51.5,25.2,75.9,25.99,75.32,5.63,pineapple,Muriate of Potash (0-0-60)
98.7,58.2,24.0,27.41,70.77,6.18,corn,Urea (46-0-0)
121.4,52.6,41.2,30.12,66.89,6.34,sugarcane,Urea (46-0-0)
77.7,44.7,84.8,23.03,67.53,5.77,tomato,Complete (14-14-14)
24.4,19.3,33.1,33.98,57.52,6.51,mango,Complete (14-14-14)
79.5,47.8,57.2,25.64,58.59,6.09,onion,Complete (14-14-14)
93.4,61.4,20.5,24.24,65.8,5.82,corn,Urea (46-0-0)
46.4,46.1,37.5,29.84,79.71,6.77,ampalaya,Complete (14-14-14)
87.9,37.9,47.5,21.29,61.73,6.96,onion,Complete (14-14-14)
20.3,19.1,22.7,27.37,72.33,6.06,calamansi,Ammonium Sulfate (21-0-0)
67.1,26.7,71.3,25.01,56.86,5.57,tobacco,Ammonium Sulfate (21-0-0)
19.9,11.3,30.6,27.15,87.18,5.35,coconut,Muriate of Potash (0-0-60)
42.9,33.5,69.3,30.76,59.84,5.19,cassava,Muriate of Potash (0-0-60)
43.6,31.9,65.9,29.2,61.27,6.34,cassava,Muriate of Potash (0-0-60)
22.6,16.3,29.6,31.82,65.3,5.83,mango,Complete (14-14-14)
72.6,30.7,42.7,27.45,57.14,6.25,onion,Complete (14-14-14)
24.6,26.8,33.5,28.81,79.35,5.41,rubber,Ammonium Sulfate (21-0-0)
49.3,28.2,83.6,25.32,66.54,4.55,pineapple,Muriate of Potash (0-0-60)
56.0,46.3,54.3,30.99,87.87,5.96,papaya,Complete (14-14-14)
84.1,55.2,20.8,30.55,67.11,5.43,corn,Urea (46-0-0)
61.5,49.2,54.8,20.66,65.42,6.34,onion,Complete (14-14-14)
95.6,97.9,47.7,28.18,79.25,6.42,banana,Muriate of Potash (0-0-60)
46.8,16.5,70.7,26.39,74.81,4.68,pineapple,Muriate of Potash (0-0-60)
19.3,38.6,31.5,26.18,63.42,5.47,peanut,Ammonium Phosphate (16-20-0)
16.3,34.7,20.9,31.22,63.21,6.1,mungbean,Ammonium Phosphate (16-20-0)
58.8,25.6,78.0,28.9,79.6,4.54,pineapple,Muriate of Potash (0-0-60)
93.2,45.3,21.6,29.88,69.41,6.81,corn,Urea (46-0-0)
118.5,47.2,58.1,26.57,71.03,5.46,sugarcane,Urea (46-0-0)
30.6,46.4,50.4,25.07,68.36,6.44,peanut,Ammonium Phosphate (16-20-0)
20.4,13.5,32.2,30.86,80.88,7.45,coconut,Muriate of Potash (0-0-60)
75.3,41.2,56.3,30.15,70.52,6.22,eggplant,Complete (14-14-14)
46.6,17.8,87.8,26.11,71.22,5.85,pineapple,Muriate of Potash (0-0-60)
59.9,43.7,33.3,31.28,65.73,6.14,okra,Complete (14-14-14)
17.0,18.0,27.6,33.2,55.43,6.62,mango,Complete (14-14-14)
75.8,34.9,42.1,27.24,78.62,5.67,cacao,Complete (14-14-14)
20.1,48.5,25.7,28.99,61.8,6.99,mungbean,Ammonium Phosphate (16-20-0)
77.9,30.7,54.8,23.16,55.06,6.26,garlic,Complete (14-14-14)
15.4,16.2,24.7,31.68,73.91,6.44,calamansi,Ammonium Sulfate (21-0-0)
78.8,38.8,40.4,27.07,67.51,6.6,eggplant,Complete (14-14-14)
86.6,33.2,74.7,24.85,85.64,5.02,abaca,Complete (14-14-14)
20.4,19.7,33.6,29.26,63.78,6.71,mango,Complete (14-14-14)
49.3,40.5,45.5,31.67,76.66,6.64,ampalaya,Complete (14-14-14)
98.1,90.3,55.4,25.82,89.76,6.44,banana,Muriate of Potash (0-0-60)
17.7,44.5,46.3,24.39,63.99,5.9,peanut,Ammonium Phosphate (16-20-0)
54.0,20.6,76.8,25.4,68.04,5.71,tobacco,Ammonium Sulfate (21-0-0)
95.3,56.6,40.6,30.02,90.11,6.1,rice,Complete (14-14-14)
94.6,16.3,32.6,27.07,69.11,5.54,coffee,Complete (14-14-14)
47.0,23.8,74.9,24.63,58.39,6.18,tobacco,Ammonium Sulfate (21-0-0)
17.2,18.4,21.1,26.02,76.26,6.03,calamansi,Ammonium Sulfate (21-0-0)
20.7,13.5,32.9,28.4,81.13,5.69,coconut,Muriate of Potash (0-0-60)
96.6,59.1,22.3,29.63,74.12,6.73,corn,Urea (46-0-0)
134.2,55.8,57.3,26.73,63.91,6.84,sugarcane,Urea (46-0-0)
92.1,44.0,40.6,26.8,86.26,5.71,cacao,Complete (14-14-14)
81.5,48.6,22.8,31.06,63.47,5.69,corn,Urea (46-0-0)
21.1,10.9,33.2,27.36,82.55,5.98,coconut,Muriate of Potash (0-0-60)
45.4,43.6,44.7,24.87,70.69,6.2,ampalaya,Complete (14-14-14)
57.2,59.7,53.8,27.25,86.76,6.86,papaya,Complete (14-14-14)
15.9,20.7,30.6,29.52,65.79,5.38,mango,Complete (14-14-14)
31.3,21.2,67.8,24.51,68.1,5.92,sweet_potato,Muriate of Potash (0-0-60)
65.8,54.2,51.8,24.26,71.75,6.26,eggplant,Complete (14-14-14)
79.5,58.5,55.1,29.79,73.61,6.02,eggplant,Complete (14-14-14)
55.4,49.5,49.2,25.68,77.31,5.86,papaya,Complete (14-14-14)
49.1,24.7,69.2,26.51,76.39,4.87,pineapple,Muriate of Potash (0-0-60)
22.6,11.5,31.4,30.07,89.2,7.87,coconut,Muriate of Potash (0-0-60)
46.7,48.4,45.5,29.77,74.04,6.07,papaya,Complete (14-14-14)
45.6,23.0,83.1,26.63,60.38,6.4,cassava,Muriate of Potash (0-0-60)
93.4,94.2,49.2,29.19,90.24,6.52,banana,Muriate of Potash (0-0-60)
53.6,30.1,45.1,24.26,60.13,6.7,okra,Complete (14-14-14)
85.8,36.4,60.0,20.58,61.99,6.44,garlic,Complete (14-14-14)
49.5,25.2,64.6,25.51,62.71,5.41,sweet_potato,Muriate of Potash (0-0-60)
79.7,51.0,47.4,21.9,64.06,6.94,onion,Complete (14-14-14)
125.5,53.0,47.4,32.78,74.21,6.85,sugarcane,Urea (46-0-0)
45.6,50.3,48.1,28.55,82.75,6.35,papaya,Complete (14-14-14)
93.3,22.5,28.1,23.81,71.3,5.84,coffee,Complete (14-14-14)
65.1,46.9,48.0,22.49,76.9,6.79,eggplant,Complete (14-14-14)
22.4,14.5,24.3,31.45,76.97,5.87,calamansi,Ammonium Sulfate (21-0-0)
68.4,59.6,77.4,21.61,64.61,6.59,tomato,Complete (14-14-14)
42.3,46.3,53.3,29.46,78.31,6.21,papaya,Complete (14-14-14)
24.6,13.9,33.0,25.38,81.14,6.96,coconut,Muriate of Potash (0-0-60)
75.5,42.1,50.7,23.17,56.42,6.41,onion,Complete (14-14-14)
122.5,51.3,47.9,31.32,68.58,6.44,sugarcane,Urea (46-0-0)
54.3,29.9,29.1,28.01,74.1,6.57,okra,Complete (14-14-14)
86.0,58.9,20.8,26.3,65.57,7.01,corn,Urea (46-0-0)
22.4,19.5,32.6,30.06,66.59,6.72,mango,Complete (14-14-14)
26.0,34.1,44.5,27.55,59.86,5.89,peanut,Ammonium Phosphate (16-20-0)
105.4,49.3,48.6,26.36,71.86,6.59,sugarcane,Urea (46-0-0)
44.9,29.5,39.5,25.64,60.65,6.17,okra,Complete (14-14-14)
76.3,51.9,48.1,25.36,69.57,6.5,eggplant,Complete (14-14-14)
82.7,40.5,53.5,25.87,74.43,6.4,eggplant,Complete (14-14-14)
18.1,45.6,46.6,30.16,56.91,6.32,peanut,Ammonium Phosphate (16-20-0)
88.7,48.7,39.7,25.95,81.9,5.72,rice,Complete (14-14-14)
51.7,34.7,79.0,27.22,56.61,6.47,tobacco,Ammonium Sulfate (21-0-0)
57.8,29.8,29.3,25.35,78.97,6.61,ampalaya,Complete (14-14-14)
38.5,26.8,26.9,26.98,85.92,5.63,rubber,Ammonium Sulfate (21-0-0)
73.2,48.3,65.6,23.25,72.68,5.74,tomato,Complete (14-14-14)
16.1,12.2,29.4,28.33,79.92,7.01,coconut,Muriate of Potash (0-0-60)
55.0,31.0,35.0,29.67,76.46,6.26,ampalaya,Complete (14-14-14)
53.9,24.9,64.4,27.67,74.61,5.34,pineapple,Muriate of Potash (0-0-60)
66.3,49.4,56.2,30.11,67.82,6.45,eggplant,Complete (14-14-14)
69.1,40.1,45.5,23.77,66.07,6.5,eggplant,Complete (14-14-14)
40.7,29.4,86.7,27.09,66.6,5.82,pineapple,Muriate of Potash (0-0-60)
83.8,28.0,62.0,29.9,94.22,6.53,abaca,Complete (14-14-14)
115.1,97.5,46.2,27.89,75.57,6.67,banana,Muriate of Potash (0-0-60)
16.9,18.5,31.2,27.37,62.52,6.66,mango,Complete (14-14-14)
22.0,46.0,21.6,30.0,72.87,6.25,mungbean,Ammonium Phosphate (16-20-0)
62.8,34.5,70.3,27.59,62.4,6.33,tobacco,Ammonium Sulfate (21-0-0)
21.0,12.9,26.1,27.76,90.8,5.3,coconut,Muriate of Potash (0-0-60)
24.8,33.3,21.2,28.8,73.25,6.1,mungbean,Ammonium Phosphate (16-20-0)
106.7,42.5,40.9,28.11,88.3,5.56,rice,Complete (14-14-14)
15.4,17.6,33.5,28.71,51.94,6.76,mango,Complete (14-14-14)
23.5,24.4,26.2,33.48,56.5,5.9,mango,Complete (14-14-14)
46.4,27.8,76.1,29.2,70.04,5.23,pineapple,Muriate of Potash (0-0-60)
83.4,41.1,45.7,21.22,61.08,6.08,garlic,Complete (14-14-14)
44.6,21.0,65.8,26.42,60.02,6.1,tobacco,Ammonium Sulfate (21-0-0)
81.3,33.4,60.1,22.44,57.98,6.3,onion,Complete (14-14-14)
78.9,46.7,22.3,26.6,60.29,7.41,corn,Urea (46-0-0)
23.5,17.6,28.3,29.25,88.22,5.34,rubber,Ammonium Sulfate (21-0-0)
76.1,47.4,49.6,27.02,82.9,6.84,cacao,Complete (14-14-14)
28.1,48.1,33.7,29.19,56.72,6.45,peanut,Ammonium Phosphate (16-20-0)
70.7,49.8,54.7,26.41,67.29,6.57,eggplant,Complete (14-14-14)
58.8,19.1,62.1,26.59,75.87,4.72,pineapple,Muriate of Potash (0-0-60)
43.0,31.0,45.0,24.15,75.77,6.05,ampalaya,Complete (14-14-14)
40.2,26.9,85.2,28.65,66.67,6.23,cassava,Muriate of Potash (0-0-60)
22.9,40.7,47.5,26.89,62.82,6.13,peanut,Ammonium Phosphate (16-20-0)
49.9,23.2,73.1,24.82,61.39,5.02,cassava,Muriate of Potash (0-0-60)
79.8,56.7,50.4,27.86,65.28,6.55,eggplant,Complete (14-14-14)
70.3,23.3,71.1,27.84,80.27,6.14,abaca,Complete (14-14-14)
82.3,33.8,48.9,26.81,59.7,6.92,garlic,Complete (14-14-14)
71.9,28.3,75.7,26.65,92.55,5.88,abaca,Complete (14-14-14)
65.2,40.0,48.7,25.74,68.93,6.49,onion,Complete (14-14-14)
98.3,50.5,44.4,28.56,75.61,5.66,rice,Complete (14-14-14)
57.6,38.8,64.0,31.04,58.64,5.27,cassava,Muriate of Potash (0-0-60)
60.7,32.9,40.7,30.07,79.38,6.21,ampalaya,Complete (14-14-14)
62.2,44.1,46.1,26.63,82.57,6.49,cacao,Complete (14-14-14)
61.2,30.6,76.4,28.08,65.82,5.89,tobacco,Ammonium Sulfate (21-0-0)
75.6,49.3,80.3,24.0,62.9,5.99,tomato,Complete (14-14-14)
65.1,30.4,76.2,29.57,67.96,5.79,tobacco,Ammonium Sulfate (21-0-0)
55.3,51.0,50.7,28.03,83.18,5.66,papaya,Complete (14-14-14)
61.3,41.5,60.0,22.46,59.98,6.45,garlic,Complete (14-14-14)
99.5,80.8,48.8,31.99,77.8,6.66,banana,Muriate of Potash (0-0-60)
100.0,90.8,45.9,30.69,84.66,5.86,banana,Muriate of Potash (0-0-60)
60.1,19.2,78.3,26.61,73.63,5.43,pineapple,Muriate of Potash (0-0-60)
120.9,76.9,49.2,30.63,76.64,6.82,banana,Muriate of Potash (0-0-60)
17.2,12.2,32.0,28.09,81.6,6.03,coconut,Muriate of Potash (0-0-60)
61.5,39.7,32.7,27.93,77.68,6.72,ampalaya,Complete (14-14-14)
58.8,27.3,80.9,29.59,61.18,6.98,cassava,Muriate of Potash (0-0-60)
15.8,43.2,42.6,26.14,69.56,5.59,peanut,Ammonium Phosphate (16-20-0)
31.4,28.3,18.6,26.19,84.56,4.66,rubber,Ammonium Sulfate (21-0-0)
62.6,43.2,45.0,26.88,80.55,6.65,eggplant,Complete (14-14-14)
65.4,36.6,48.3,23.07,65.65,6.65,garlic,Complete (14-14-14)
19.5,22.5,32.8,34.25,70.16,7.19,mango,Complete (14-14-14)
16.7,40.6,26.6,29.32,64.32,6.71,mungbean,Ammonium Phosphate (16-20-0)
80.4,41.5,65.7,22.98,62.22,5.98,tomato,Complete (14-14-14)
17.7,44.5,22.3,28.55,75.02,6.38,mungbean,Ammonium Phosphate (16-20-0)
50.2,38.2,60.2,31.32,73.02,6.96,cassava,Muriate of Potash (0-0-60)
117.8,46.8,44.9,25.29,78.51,6.36,rice,Complete (14-14-14)
15.5,28.8,51.3,27.61,60.61,5.72,peanut,Ammonium Phosphate (16-20-0)
57.0,29.0,64.5,28.21,72.05,5.31,pineapple,Muriate of Potash (0-0-60)
99.5,41.1,45.3,30.69,62.95,6.26,sugarcane,Urea (46-0-0)
72.1,54.4,43.7,25.02,75.29,5.69,eggplant,Complete (14-14-14)
105.4,98.8,54.3,28.23,82.04,5.89,banana,Muriate of Potash (0-0-60)
43.6,39.2,45.7,31.75,74.86,6.02,okra,Complete (14-14-14)
22.7,19.7,26.8,32.81,66.39,6.75,mango,Complete (14-14-14)
21.1,32.9,20.2,31.97,75.42,6.05,mungbean,Ammonium Phosphate (16-20-0)
91.2,54.0,41.8,22.07,70.9,6.32,eggplant,Complete (14-14-14)
22.6,29.9,36.5,28.56,60.99,6.13,peanut,Ammonium Phosphate (16-20-0)
102.3,88.0,50.6,30.27,87.74,6.61,banana,Muriate of Potash (0-0-60)
88.9,40.2,55.2,28.25,85.26,6.5,cacao,Complete (14-14-14)
85.3,45.8,44.8,23.21,79.76,6.55,eggplant,Complete (14-14-14)
50.8,17.2,59.2,25.19,72.3,5.49,pineapple,Muriate of Potash (0-0-60)
69.6,41.5,48.1,21.25,68.58,6.99,garlic,Complete (14-14-14)
51.4,37.3,37.8,30.14,63.14,6.62,okra,Complete (14-14-14)
17.3,7.2,27.9,29.49,94.59,6.42,coconut,Muriate of Potash (0-0-60)
75.6,35.9,55.7,24.8,57.06,6.12,garlic,Complete (14-14-14)
21.2,17.7,25.8,27.89,57.11,5.55,mango,Complete (14-14-14)
81.8,26.3,77.4,29.7,81.58,5.3,abaca,Complete (14-14-14)
54.9,37.3,31.6,27.6,61.75,6.39,okra,Complete (14-14-14)
80.8,45.7,44.6,23.44,57.41,6.39,onion,Complete (14-14-14)
15.9,38.5,22.9,30.26,67.92,6.74,mungbean,Ammonium Phosphate (16-20-0)
103.9,48.5,42.7,25.74,83.33,6.86,rice,Complete (14-14-14)
102.2,70.3,52.4,27.65,81.76,6.22,banana,Muriate of Potash (0-0-60)
98.3,85.4,50.6,31.51,87.19,6.49,banana,Muriate of Potash (0-0-60)
109.2,43.0,44.8,33.61,77.12,6.21,sugarcane,Urea (46-0-0)
84.6,56.1,24.6,28.96,63.05,7.45,corn,Urea (46-0-0)
20.2,11.5,22.1,27.2,82.95,5.98,calamansi,Ammonium Sulfate (21-0-0)
80.3,42.5,20.8,26.49,66.25,6.01,corn,Urea (46-0-0)
74.1,59.3,46.1,27.1,74.75,5.53,eggplant,Complete (14-14-14)
88.0,56.5,70.0,23.0,71.5,5.5,tomato,Complete (14-14-14)
36.0,32.0,78.7,25.05,64.43,6.8,sweet_potato,Muriate of Potash (0-0-60)
55.7,48.6,41.4,31.38,66.96,6.22,okra,Complete (14-14-14)
89.1,53.8,24.3,27.05,61.36,7.25,corn,Urea (46-0-0)
31.6,24.4,86.3,23.77,73.37,6.3,sweet_potato,Muriate of Potash (0-0-60)
74.7,43.3,40.7,22.07,77.62,5.62,eggplant,Complete (14-14-14)
66.8,34.0,83.5,22.68,66.84,6.18,tobacco,Ammonium Sulfate (21-0-0)
43.3,22.9,87.8,26.79,70.98,6.22,sweet_potato,Muriate of Potash (0-0-60)
62.4,33.2,41.6,27.4,85.18,6.55,cacao,Complete (14-14-14)
86.9,52.5,53.3,23.17,75.77,6.4,eggplant,Complete (14-14-14)
86.3,58.0,39.7,28.88,79.49,6.54,eggplant,Complete (14-14-14)
42.0,28.4,78.1,27.36,76.14,5.67,pineapple,Muriate of Potash (0-0-60)
65.7,39.8,43.6,25.19,79.31,7.12,cacao,Complete (14-14-14)
37.0,27.5,20.1,26.34,77.25,4.86,rubber,Ammonium Sulfate (21-0-0)
49.2,30.0,77.1,25.85,67.52,6.21,sweet_potato,Muriate of Potash (0-0-60)
43.9,33.9,75.4,27.42,65.34,6.14,tobacco,Ammonium Sulfate (21-0-0)
43.3,30.9,73.9,28.19,72.14,4.67,pineapple,Muriate of Potash (0-0-60)
119.2,51.5,40.7,28.08,88.3,6.7,rice,Complete (14-14-14)
88.4,32.5,47.7,20.13,62.3,6.47,onion,Complete (14-14-14)
34.7,22.2,35.2,30.97,77.23,5.08,rubber,Ammonium Sulfate (21-0-0)
45.6,40.3,44.0,25.48,61.65,6.73,okra,Complete (14-14-14)
43.3,38.8,65.6,25.77,63.31,5.64,tobacco,Ammonium Sulfate (21-0-0)
50.2,61.3,49.2,30.01,87.78,6.56,papaya,Complete (14-14-14)
62.2,31.9,59.0,23.88,63.72,6.62,garlic,Complete (14-14-14)
59.9,18.0,72.6,26.4,76.91,5.64,pineapple,Muriate of Potash (0-0-60)
62.4,60.2,86.8,21.24,72.86,5.89,tomato,Complete (14-14-14)
63.0,37.7,59.1,26.07,57.27,6.5,onion,Complete (14-14-14)
127.2,57.8,53.1,30.23,75.11,6.77,sugarcane,Urea (46-0-0)
42.0,29.4,64.0,27.44,67.67,6.19,tobacco,Ammonium Sulfate (21-0-0)
28.5,16.9,33.3,30.43,80.46,4.54,rubber,Ammonium Sulfate (21-0-0)
83.8,49.7,59.4,25.56,67.29,6.58,eggplant,Complete (14-14-14)
64.5,30.5,65.7,27.31,83.62,5.74,abaca,Complete (14-14-14)
109.4,57.7,42.7,29.32,79.2,6.22,rice,Complete (14-14-14)
85.9,51.3,41.0,25.63,76.1,6.94,rice,Complete (14-14-14)
77.9,40.9,53.4,27.32,80.19,6.19,cacao,Complete (14-14-14)
45.5,29.7,35.4,31.04,66.11,6.67,okra,Complete (14-14-14)
24.9,12.5,15.1,30.64,82.59,5.96,calamansi,Ammonium Sulfate (21-0-0)
20.1,32.0,33.2,24.21,69.15,6.47,peanut,Ammonium Phosphate (16-20-0)
41.7,34.7,41.3,25.02,72.54,6.7,ampalaya,Complete (14-14-14)
58.6,25.2,75.4,29.84,73.39,5.99,pineapple,Muriate of Potash (0-0-60)
62.7,48.0,40.4,26.16,74.69,6.25,eggplant,Complete (14-14-14)
20.7,47.5,29.2,27.19,64.05,6.56,mungbean,Ammonium Phosphate (16-20-0)
20.8,15.4,24.4,28.36,82.77,5.75,calamansi,Ammonium Sulfate (21-0-0)
95.4,19.5,32.7,23.03,62.61,5.08,coffee,Complete (14-14-14)
17.5,6.9,29.0,26.01,88.07,6.9,coconut,Muriate of Potash (0-0-60)
87.4,32.8,64.4,27.29,83.8,5.38,abaca,Complete (14-14-14)
49.1,27.7,69.2,24.24,65.68,6.37,tobacco,Ammonium Sulfate (21-0-0)
50.3,25.0,85.7,27.06,72.74,4.95,pineapple,Muriate of Potash (0-0-60)
114.1,90.9,54.3,26.86,85.43,5.86,banana,Muriate of Potash (0-0-60)
43.4,21.0,82.6,26.48,78.99,5.73,pineapple,Muriate of Potash (0-0-60)
32.4,20.0,22.2,25.25,77.79,4.78,rubber,Ammonium Sulfate (21-0-0)
75.7,30.9,41.6,24.5,89.59,5.84,cacao,Complete (14-14-14)
98.0,54.4,23.8,25.03,63.27,6.77,corn,Urea (46-0-0)
39.7,20.9,72.2,29.21,75.83,5.48,pineapple,Muriate of Potash (0-0-60)
